
# FSCT-7910 research dataset: 2019 cybersecurity timeline events
# Scope: major vulnerabilities, incidents and tactic changes influencing ransomware and botnet trends during 2019.
# Limitations: some dates approximate; events selected for material impact on malware landscape.
# Arrays within cells are semicolon-separated inside quotes.

event_id,date,event_type,title,description,affected_software_or_ecosystem,cve_ids,related_malware_families,potential_impact_on_malware,metrics,source_ids,confidence_score,notes
EVT-2019-03-19,2019-03-19,major_incident,LockerGoga ransomware attack hits Norsk Hydro,Norwegian aluminium producer Norsk Hydro suffered a major cyber-attack that forced it to shut down operations across its global organisation. Investigations linked the attack to LockerGoga ransomware.,Industrial control systems,[],"[""LockerGoga""]",Demonstrated destructive potential of manual ransomware in industrial environments.,"{""downtime_hours"":168}","[""https://www.hydro.com/en/global/media/on-the-agenda/cyber-attack/#:~:text=Hydro%20became%20victim%20of%20an,of%20the%20company%27s%20business%20areas""]",0.8,Hydro publicly communicated the attack and refused to pay ransom.
EVT-2019-05-14,2019-05-14,patch_release,Microsoft releases fix for BlueKeep (CVE-2019-0708),Microsoft issued a critical patch for the remote desktop vulnerability known as BlueKeep. The wormable bug (CVE-2019-0708) could allow remote code execution on unpatched Windows systems.,"[""cpe:/o:microsoft:windows""]","[""CVE-2019-0708""]",[],Unpatched systems provided potential entry points for ransomware operators until widely patched.,"{""cvss"":9.8}","[""https://www.fortinet.com/blog/threat-research/bluekeep-rdp-attacks-starting-patch-now#:~:text=Microsoft%20patched%20a%20critical%20Remote,code%20on%20the%20target%20system""]",0.8,BlueKeep exploitation was later observed in the wild in November 2019.
EVT-2019-04-17,2019-04-17,exploit_release,REvil uses Oracle WebLogic vulnerability (CVE-2019-2725),Attackers began exploiting a deserialization flaw in Oracle WebLogic (CVE-2019-2725) to deploy the new ransomware Sodinokibi/REvil. Oracle released a patch on April 26.,"[""cpe:/a:oracle:weblogic_server""]","[""CVE-2019-2725""]","[""REvil (Sodinokibi)""]",Enabled initial access for REvil campaigns and signaled rise of aggressive RaaS.,"{""exploit_published"":true}","[""https://blog.talosintelligence.com/sodinokibi-ransomware-exploits-weblogic/#:~:text=Attackers%20are%20actively%20exploiting%20a,investigating%20these%20attacks%20and%20Sodinokibi""]",0.8,The vulnerability allowed unauthenticated remote code execution in WebLogic.
EVT-2019-08-16,2019-08-16,major_incident,Texas local government ransomware attack,A coordinated ransomware attack affected more than 20 small local government entities in Texas. The state activated its operations center and by August 23 had moved victims into recovery; no ransom was paid.,Local government networks,[],[],Highlighted vulnerabilities in municipal networks and spurred guidance on incident response and recovery.,"{""entities_impacted"":22}","[""https://dir.texas.gov/news/update-texas-local-government-ransomware-attack#:~:text=,entities%20were%20smaller%20local%20governments""]",0.8,The incident underscored the importance of preparedness in smaller government agencies.
EVT-2019-08-31,2019-08-31,botnet_activity,Emotet botnet reactivates after three‑month hiatus,Check Point researchers observed the Emotet botnet resume activity in August 2019 after being dormant since June. The botnet renewed spam campaigns with malicious Word documents delivering Emotet.,Email ecosystems,[],"[""Emotet""]","Reactivation boosted distribution of TrickBot and Ryuk, fueling subsequent ransomware incidents.","{""spam_campaigns"":true}","[""https://www.checkpoint.com/press-releases/september-2019s-most-wanted-malware-emotet-botnet-starts-spreading-spam-campaigns-again-after-a-three-month-silence/#:~:text=Research%20team%20is%20warning%20organizations,become%20active%20again%20in%20August""]",0.8,Emotet returned as the fifth most prevalent malware in September 2019.
EVT-2019-10-15,2019-10-15,technique_disclosure,Snatch ransomware observed rebooting Windows into Safe Mode,Sophos researchers discovered Snatch ransomware employing a novel technique: it forces Windows into Safe Mode to bypass security software before encrypting files.,"[""Microsoft Windows""]",[],"[""Snatch""]","Illustrated evolving ransomware evasion tactics, prompting vendors to update detection strategies.",{},"[""https://news.sophos.com/en-us/2019/12/09/snatch-ransomware-reboots-pcs-into-safe-mode-to-bypass-protection/#:~:text=In%20mid,encrypts%20the%20victims%E2%80%99%20hard%20drives""]",0.8,The safe mode technique prevented many endpoint products from loading.
EVT-2019-11-01,2019-11-01,exploit_in_the_wild,BlueKeep exploitation detected in the wild,By November 2019 security researchers observed active exploitation of the BlueKeep RDP vulnerability (CVE‑2019‑0708). Wormable exploits targeted unpatched systems despite Microsoft’s earlier patch release.,"[""cpe:/o:microsoft:windows""]","[""CVE-2019-0708""]",[],Raised concerns about ransomware worms similar to WannaCry and prompted urgency to patch.,"{""attacks_observed"":true}","[""https://www.fortinet.com/blog/threat-research/bluekeep-rdp-attacks-starting-patch-now#:~:text=Microsoft%20patched%20a%20critical%20Remote,code%20on%20the%20target%20system""]",0.7,"Although exploitation was limited, it demonstrated real-world risk for unpatched systems."
EVT-2019-12-01,2019-12-01,tactic_change,Maze ransomware pioneers double extortion,"Late in 2019, the Maze ransomware group began threatening to publish stolen data unless victims paid ransom, initiating the double‑extortion model that later became common among ransomware actors.",N/A,[],"[""Maze""]","Introduced a new extortion tactic that increased leverage on victims and inspired other groups (e.g., REvil, Conti).",{},"[""https://www.sentinelone.com/anthology/maze/#:~:text=Maze%20ransomware%20first%20appeared%20in,similar%20tactics%20against%20their%20victims""]",0.8,The double‑extortion model involved stealing data before encryption and threatening publication.
EVT-2019-01-24,2019-01-24,first_detection,First public report of LockerGoga ransomware,Security researchers discovered and publicly reported LockerGoga ransomware after it disrupted French engineering firm Altran. VirusTotal received the earliest sample on this date.,Corporate networks,[],"[""LockerGoga""]",Marked the emergence of a dangerous manual ransomware that later impacted other industrial firms.,{},"[""https://unit42.paloaltonetworks.com/born-this-way-origins-of-lockergoga/#:~:text=The%20LockerGoga%20ransomware%20was%20first,code%20path%20discovered%20by%20MalwareHunterTeam""]",0.8,LockerGoga required manual deployment via compromised credentials.
EVT-2019-12-31,2019-12-31,trend_summary,"2019 sees the “triple threat” of Emotet, TrickBot and Ryuk","Year‑end reports highlighted that the combination of Emotet as an initial loader, TrickBot for lateral movement, and Ryuk ransomware caused significant harm to organisations in 2019. The synergy allowed attackers to gain persistence, spread across networks and deploy destructive encryption.","[""Email clients"",""Windows""]",[],"[""Emotet"",""TrickBot"",""Ryuk""]",Demonstrated how modular malware ecosystems amplify impact; influenced future RaaS collaborations.,{},"[""https://www.webroot.com/nz/en/about/press-room/releases/2019s-nastiest-threats#:~:text=1.%20Emotet%20,stage%20payload%20off%20of%20Emotet"",""https://www.webroot.com/nz/en/about/press-room/releases/2019s-nastiest-threats#:~:text=1,infection%20chain%20with%20Bitpaymer%20ransomware""]",0.7,The triple threat remained a dominant ransomware delivery chain into 2020.
