
# FSCT-7910 research dataset: 2020 cybersecurity timeline events
# Scope: major events such as vulnerability disclosures, malware emergences, and law enforcement actions that shaped ransomware and botnet trends in 2020.
# Limitations: dates may be approximate; events selected for significance in malware landscape.
# Arrays within cells are semicolon-separated inside quotes.

event_id,date,event_type,title,description,affected_software_or_ecosystem,cve_ids,related_malware_families,potential_impact_on_malware,metrics,source_ids,confidence_score,notes
EVT-2020-03-01,2020-03-01,program_launch,NetWalker ransomware operators launch affiliate program,"In March 2020, the NetWalker gang introduced a ransomware-as-a-service (RaaS) affiliate model, allowing other attackers to deploy its malware in exchange for a revenue share.",N/A,[],"[""NetWalker""]",Expanded reach of NetWalker attacks through affiliate-driven distribution.,{},"[""https://www.emsisoft.com/en/blog/37677/ransomware-profile-netwalker/#:~:text=NetWalker%20is%20a%20type%20of,NetWalker%20team%20and%20their%20affiliates""]",0.8,The RaaS program attracted affiliates and increased attack volume.
EVT-2020-04-01,2020-04-01,discovery,FBI identifies Ragnar Locker ransomware active since December 2019,Authorities discovered that the Ragnar Locker group had been attacking organisations since December 2019. The group used RDP brute‑force and the Windows COM vulnerability CVE‑2017‑0213 for privilege escalation.,"[""cpe:/o:microsoft:windows""]","[""CVE-2017-0213""]","[""Ragnar Locker""]",Showcased new techniques such as executing ransomware inside a VirtualBox VM to evade detection.,{},"[""https://www.avertium.com/resources/threat-reports/ragnar-locker-ransomware-attacks-analysis#:~:text=Initially%20discovered%20in%20April%202020%2C,services%2C%20government%2C%20and%20information%20technology""]",0.8,The discovery emphasised the need for strong RDP security and VM monitoring.
EVT-2020-06-30,2020-06-30,patch_release,F5 releases critical patch for BIG-IP CVE‑2020‑5902,F5 disclosed and patched a critical remote code execution vulnerability (CVE-2020-5902) in BIG‑IP Traffic Management User Interface. The flaw allowed unauthenticated attackers to execute commands remotely.,"[""cpe:/a:f5:big-ip""]","[""CVE-2020-5902""]",[],Ransomware groups could leverage unpatched BIG-IP devices for initial access; the patch mitigated risk.,"{""cvss"":9.8}","[""https://www.f5.com/support/big-ip-vulnerability-cve-2020-5902#:~:text=Protect%20Against%20the%20BIG,5902""]",0.8,Follow-up guidance was released on July 8 due to active exploitation.
EVT-2020-07-08,2020-07-08,exploit_in_the_wild,Active exploitation of F5 BIG‑IP vulnerability prompts updated guidance,Security researchers observed active exploitation of the BIG‑IP CVE‑2020‑5902 vulnerability. F5 released updated mitigation guidance urging customers to patch or apply workarounds.,"[""cpe:/a:f5:big-ip""]","[""CVE-2020-5902""]",[],Unpatched devices were targeted by ransomware operators and other attackers for lateral movement.,"{""exploitation"":true}","[""https://blog.qualys.com/vulnerabilities-threat-research/2020/07/06/f5-big-ip-remote-code-execution-vulnerability-cve-2020-5902#:~:text=Update%20July%2010%2C%202020%3A%20F5,3%20and%20above""]",0.7,Demonstrated the speed at which critical vulnerabilities are weaponised.
EVT-2020-06-10,2020-06-10,malware_discovery,Avaddon ransomware discovered,"Security researchers identified a new ransomware strain named Avaddon, delivered via phishing emails with a double‑extension JavaScript downloader. It quickly evolved into a RaaS with double extortion.",Email clients and Windows systems,[],"[""Avaddon""]",Illustrated the ongoing proliferation of RaaS models and social engineering tactics.,{},"[""https://www.cybereason.com/blog/research/cybereason-vs.-avaddon-ransomware#:~:text=Over%20the%20last%20few%20months%2C,to%20download%20the%20malware%20loader"",""https://www.cybereason.com/blog/research/cybereason-vs.-avaddon-ransomware#:~:text=Ransomware%20medium,and%20RSA2048%20encryption%20keys""]",0.8,Avaddon later used the Phorpiex botnet to distribute malicious spam.
EVT-2020-08-11,2020-08-11,patch_release,Microsoft releases Zerologon patch (CVE‑2020‑1472),Microsoft issued an update addressing a critical Netlogon protocol vulnerability (CVE-2020-1472). The flaw allowed privilege escalation on domain controllers and was later dubbed Zerologon.,"[""cpe:/o:microsoft:windows_server""]","[""CVE-2020-1472""]",[],Prevented attackers from using the vulnerability to gain domain admin privileges and deploy ransomware.,"{""cvss"":10.0}","[""https://netwrix.com/en/cybersecurity-glossary/cyber-security-attacks/zerologon-vulnerability//#:~:text=The%20Zerologon%20vulnerability%20was%20first,the%20flaw%20and%20encouraged%20others"",""https://www.microsoft.com/en-us/msrc/blog/2020/10/attacks-exploiting-netlogon-vulnerability-cve-2020-1472#:~:text=Microsoft%20has%20received%20a%20small,and%20take%20over%20the%20domain""]",0.8,Administrators were urged to apply the patch immediately to domain controllers.
EVT-2020-09-17,2020-09-17,exploit_release,Public disclosure and exploit of Zerologon vulnerability,"Security firm Secura published a technical write-up on the Zerologon vulnerability, and proof-of-concept exploits became public. Attackers quickly exploited the bug to compromise Active Directory domains.","[""cpe:/o:microsoft:windows_server""]","[""CVE-2020-1472""]",[],Enabled ransomware groups to rapidly gain domain admin privileges and deploy payloads across networks.,"{""exploitation"":true}","[""https://netwrix.com/en/cybersecurity-glossary/cyber-security-attacks/zerologon-vulnerability//#:~:text=The%20Zerologon%20vulnerability%20was%20first,the%20flaw%20and%20encouraged%20others""]",0.8,Exploitation increased until further Microsoft phase updates were released.
EVT-2020-09-01,2020-09-01,malware_discovery,Egregor ransomware emerges,Egregor ransomware was first observed in September 2020. The group used phishing emails and existing malware like Qbot/IcedID to deliver payloads and engage in double extortion.,Email ecosystems,[],"[""Egregor""]",Signalled continuation of Maze operations and adoption of data leak threats by affiliates.,{},"[""https://attack.mitre.org/software/S0554/#:~:text=Egregor%20%20is%20a%20Ransomware,3"",""https://www.cybereason.com/blog/cybereason-vs-egregor-ransomware#:~:text=Egregor%20is%20a%20newly%20identified,industry%20giants%20Crytek%20and%20Ubisoft""]",0.8,Egregor is believed to be a successor to Sekhmet/Maze code.
EVT-2020-08-01,2020-08-01,malware_emergence,DarkSide ransomware introduced,DarkSide ransomware first surfaced in August 2020. Operators offered a ransomware-as-a-service model and boasted about charitable donations from ransom payments.,N/A,[],"[""DarkSide""]",Brought professionalisation to ransomware gangs and set the stage for high-profile attacks in 2021.,{},"[""https://www.trendmicro.com/en_us/research/21/e/what-we-know-about-darkside-ransomware-and-the-us-pipeline-attac.html#:~:text=Here%20is%20a%20short%20timeline,compiled%20from%20publicly%20available%20reports""]",0.8,DarkSide later attacked Colonial Pipeline in 2021.
EVT-2020-10-12,2020-10-12,law_enforcement_action,Microsoft and partners disrupt TrickBot botnet,"On 12 October 2020, Microsoft and telecommunications partners launched a coordinated legal and technical action to disrupt the TrickBot botnet, cutting off servers used for command and control.","[""TrickBot botnet""]",[],"[""TrickBot"",""Ryuk"",""Conti""]",Temporarily hindered distribution of ransomware via TrickBot and highlighted cooperation between private and government entities.,{},"[""https://www.microsoft.com/en-us/security/blog/2020/10/12/trickbot-disrupted/#:~:text=As%20announced%20today%2C%20Microsoft%20took,activate%20deployed%20payloads%20like%20ransomware""]",0.8,The disruption targeted command servers and infrastructure to slow malware operations.
EVT-2020-12-01,2020-12-01,law_enforcement_warning,FBI issues advisory on DoppelPaymer ransomware targeting critical sectors,"In December 2020, the FBI and CISA issued an alert warning that DoppelPaymer ransomware attacks were increasing against healthcare and critical infrastructure. The advisory highlighted the group’s data leak site and high ransom demands.",Healthcare and critical infrastructure networks,[],"[""DoppelPaymer""]",Raised awareness about an active threat and provided indicators of compromise and mitigation guidance.,{},"[""https://www.trendmicro.com/en_us/research/21/a/an-overview-of-the-doppelpaymer-ransomware.html#:~:text=In%20early%20December%202020%2C%20the,properly%20carry%20out%20their%20operations"",""https://www.trendmicro.com/en_us/research/21/a/an-overview-of-the-doppelpaymer-ransomware.html#:~:text=Like%20many%20modern%20ransomware%20families%2C,of%20the%20ransomware%E2%80%99s%20extortion%20scheme""]",0.7,The warning emphasised that DoppelPaymer uses Emotet and Dridex as initial access vectors.
