
# FSCT-7910 research dataset: 2021 cybersecurity timeline events
# Scope: significant incidents, vulnerability disclosures, malware emergences, and law enforcement actions that influenced ransomware and botnet trends in 2021.
# Limitations: dates and metrics are based on public reports; some approximations used where precise information unavailable.
# Arrays within cells are semicolon-separated inside quotes.

event_id,date,event_type,title,description,affected_software_or_ecosystem,cve_ids,related_malware_families,potential_impact_on_malware,metrics,source_ids,confidence_score,notes
EVT-2021-01-28,2021-01-28,law_enforcement_takedown,Operation Ladybird takes down Emotet botnet,"International law enforcement agencies disrupted the Emotet botnet, replacing malware on infected computers with a law enforcement file and severing command-and-control infrastructure.","[""Emotet botnet""]",[],"[""Emotet"",""TrickBot"",""Ryuk""]",Significantly reduced the distribution of malware and ransomware delivered via Emotet.,"{""botnet_nodes"":1600000}","[""https://www.justice.gov/archives/opa/pr/emotet-botnet-disrupted-international-cyber-operation#:~:text=Emotet%20Malware%20Infected%20More%20than,of%20Dollars%20in%20Damage%20Worldwide"",""https://www.justice.gov/archives/opa/pr/emotet-botnet-disrupted-international-cyber-operation#:~:text=The%20computers%20infected%20with%20Emotet,typically%20unaware%20of%20the%20infection""]",0.8,The takedown involved authorities from multiple countries and was one of the largest botnet disruptions.
EVT-2021-03-02,2021-03-02,patch_release,Microsoft patches Exchange Server ProxyLogon vulnerabilities,"Microsoft released security updates fixing four zero-day vulnerabilities (CVE‑2021‑26855, CVE‑2021‑26857, CVE‑2021‑26858, CVE‑2021‑27065) exploited by the HAFNIUM threat actor to attack on-premises Exchange Server. Organisations were urged to patch immediately.","[""cpe:/a:microsoft:exchange_server""]","[""CVE-2021-26855"",""CVE-2021-26857"",""CVE-2021-26858"",""CVE-2021-27065""]","[""Hafnium"",""Multiple ransomware families""]",Prevented attackers from leveraging SSRF and arbitrary file write to establish backdoors for ransomware deployment.,{},"[""https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/#:~:text=Microsoft%20has%20detected%20multiple%200,observed%20victimology%2C%20tactics%20and%20procedures"",""https://www.microsoft.com/en-us/security/blog/2021/03/02/hafnium-targeting-exchange-servers/#:~:text=CVE,authenticate%20as%20the%20Exchange%20server""]",0.8,These vulnerabilities were widely exploited before patches became available.
EVT-2021-05-07,2021-05-07,major_incident,Colonial Pipeline ransomware incident causes shutdown,"DarkSide ransomware infected Colonial Pipeline’s corporate network, prompting the pipeline operator to proactively shut down operations. The shutdown led to fuel shortages until operations resumed on May 13.",Industrial control networks,[],"[""DarkSide""]",Highlighted the real-world consequences of ransomware on critical infrastructure and prompted policy responses.,"{""pipeline_shutdown_days"":5}","[""https://www.energy.gov/ceser/colonial-pipeline-cyber-incident#:~:text=On%20May%207%2C%202021%2C%20the,delivery%20commenced%20to%20all%20markets"",""https://www.fbi.gov/news/press-releases/fbi-statement-on-compromise-of-colonial-pipeline-networks#:~:text=May%2010%2C%202021""]",0.8,The FBI confirmed DarkSide was responsible on May 10; the US government coordinated a response.
EVT-2021-06-02,2021-06-02,major_incident,JBS Foods hit by ransomware attributed to REvil,"Meat processing giant JBS suffered a ransomware attack, leading to temporary shutdown of production facilities. The FBI attributed the attack to the REvil (Sodinokibi) group, and JBS later admitted paying an $11 million ransom.",JBS corporate networks,[],"[""REvil (Sodinokibi)""]","Demonstrated that even well-resourced companies may pay ransom to avoid disruptions, potentially incentivising further attacks.","{""ransom_paid_usd"":11000000}","[""https://therecord.media/fbi-jbs-ransomware-attack-was-carried-out-by-revil#:~:text=The%20US%20Federal%20Bureau%20of,the%20world%E2%80%99s%20largest%20meatpacking%20company"",""https://therecord.media/fbi-jbs-ransomware-attack-was-carried-out-by-revil#:~:text=JBS%20first%20disclosed%20details%20about,in%20North%20America%20and%20Australia"",""https://jbsfoodsgroup.com/articles/jbs-usa-cyberattack-media-statement-june-9#:~:text=JBS%20USA%20today%20confirmed%20it,ensure%20no%20data%20was%20exfiltrated""]",0.8,JBS stated that no data was compromised and operations were largely restored at time of payment.
EVT-2021-07-02,2021-07-02,major_incident,Supply-chain ransomware attack through Kaseya VSA,REvil affiliates exploited an authentication bypass (CVE‑2021‑30116) in Kaseya VSA remote management software to distribute ransomware to managed service providers and their clients. Kaseya urged all on-premise customers to shut down servers; a patch was released on July 11.,"[""cpe:/a:kaseya:vsa""]","[""CVE-2021-30116""]","[""REvil (Sodinokibi)""]",Illustrated the risk of supply chain attacks and led to calls for stronger software vendor security.,{},"[""https://www.akamai.com/blog/security/kaseya-supply-chain-ransomware-attack#:~:text=On%20July%202%2C%202021%2C%C2%A0Kaseya%20disclosed,by%20Kaseya%20on%20July%2011"",""https://www.akamai.com/blog/security/kaseya-supply-chain-ransomware-attack#:~:text=The%20attackers%2C%20affiliates%20of%20the,to%20assist%20defenders%2C%C2%A0%20120%20Kaseya""]",0.8,This event affected hundreds of downstream businesses across several countries.
EVT-2021-07-06,2021-07-06,patch_release,Microsoft issues out-of-band updates for PrintNightmare (CVE‑2021‑34527),"In response to active exploitation of a Windows Print Spooler flaw, Microsoft assigned CVE‑2021‑34527 and released emergency patches on July 6–7. The vulnerability allowed remote code execution and privilege escalation.","[""cpe:/o:microsoft:windows""]","[""CVE-2021-34527""]",[],Reduced the attack surface for ransomware operators and prevented lateral movement via print spooler service.,{},"[""https://www.microsoft.com/en-us/msrc/blog/2021/07/clarified-guidance-for-cve-2021-34527-windows-print-spooler-vulnerability#:~:text=On%20Tuesday%20July%206%2C%202021%2C,update%20as%20soon%20as%20possible""]",0.8,Administrators were advised to apply the patch and disable the print spooler when not needed.
EVT-2021-08-01,2021-08-01,malware_emergence,LockBit 2.0 ransomware emerges,"The LockBit group released version 2.0 of its ransomware-as-a-service, incorporating a data exfiltration tool (StealBIT) and adopting a double-extortion scheme.",N/A,[],"[""LockBit 2.0""]",Illustrated the evolution of existing ransomware into more sophisticated RaaS models with built-in data theft.,{},"[""https://www.sentinelone.com/anthology/lockbit-2-0/#:~:text=LockBit%202,such%20as%20StealBIT%20for%20exfiltration""]",0.8,LockBit 2.0 targeted medium-to-large enterprises with high ransoms and strict affiliate rules.
EVT-2021-10-18,2021-10-18,security_advisory,Joint cybersecurity advisory warns about BlackMatter ransomware,"NSA, CISA and FBI released a joint advisory warning organisations about BlackMatter ransomware. The advisory stated BlackMatter was first seen in July 2021 and provided mitigation recommendations.",Network infrastructure,[],"[""BlackMatter""]",Raised awareness and encouraged organisations to implement protections against credential compromise and backup destruction.,{},"[""https://www.nsa.gov/Press-Room/Press-Releases-Statements/Press-Release-View/Article/2813927/cisa-fbi-and-nsa-release-blackmatter-ransomware-advisory-to-help-organizations/#:~:text=Press%20Release%20,2021""]",0.8,Advisory emphasised using multi-factor authentication and offline backups.
EVT-2021-10-21,2021-10-21,law_enforcement_takedown,REvil ransomware gang taken offline in coordinated operation,"A multi-country operation hacked REvil’s servers and took over its infrastructure, causing the group’s leak site and payment portal to go offline. The action followed earlier arrests of REvil affiliates.","[""REvil infrastructure""]",[],"[""REvil (Sodinokibi)""]",Disrupted one of the most prolific RaaS providers and signaled increased international cooperation against ransomware.,{},"[""https://www.reuters.com/technology/exclusive-governments-turn-tables-ransomware-gang-revil-by-pushing-it-offline-2021-10-21/#:~:text=Oct%2021%20%28Reuters%29%20,States%20and%20one%20former%20official"",""https://www.reuters.com/technology/exclusive-governments-turn-tables-ransomware-gang-revil-by-pushing-it-offline-2021-10-21/#:~:text=,%E2%80%9D""]",0.8,REvil’s Happy Blog and payment sites disappeared following the takedown.
EVT-2021-12-09,2021-12-09,exploit_release,Critical Log4Shell vulnerability disclosed,"A zero-day remote code execution vulnerability (CVE‑2021‑44228) in the Apache Log4j2 library was publicly disclosed, allowing attackers to execute code via crafted log messages. The bug affected numerous Java-based applications.","[""Apache Log4j2"",""Java applications""]","[""CVE-2021-44228""]",[],"Provided an extremely easy exploitation path for attackers, including ransomware groups, to gain initial access to servers.","{""cvss"":10.0}","[""https://blog.qualys.com/vulnerabilities-threat-research/2021/12/10/apache-log4j2-zero-day-exploited-in-the-wild-log4shell#:~:text=An%20exploit%20for%20a%20critical,being%20exploited%20in%20the%20wild""]",0.8,Apache released version 2.16.0 to fix the vulnerability; exploitation was observed shortly after disclosure.
